agency,emp_id,ssn,emp_name,job_begin_date,job_end_date,effective_date,adjust_service_date,action_code,sub_action_code,position_nbr,salary,job_class,memo,separation_reason,part_or_full_time,employment_status,employment_status_date,rate_code,pay_frequency,employee_type,extra_field
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2004-07-01,2000-03-01,09,PF,GJB66,67.1000,H1E3,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2001-09-01,2000-03-01,01,KC,GJB66,75.6600,H1E4,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2002-07-01,2000-03-01,07,PM,GJB66,77.5500,H1E4,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2003-05-01,2000-03-01,95,PM,GJB66,79.4900,H1E4,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2004-03-01,2000-03-01,91,NULL,GJB66,81.4800,H1E4,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2005-01-01,2000-03-01,91,PO,GJB66,83.5200,H1E4,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2001-09-01,2000-03-01,04,PE,GJB66,94.1700,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2002-01-01,2000-03-01,02,PF,GJB66,96.5200,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2002-05-01,2000-03-01,13,PF,GJB66,98.9300,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2002-09-01,2000-03-01,06,LA,GJB66,101.4000,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2003-01-01,2000-03-01,71,PF,GJB66,103.9400,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2003-05-01,2000-03-01,95,NA,GJB66,106.5400,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2003-09-01,2000-03-01,15,PL,GJB66,109.2000,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2004-01-01,2000-03-01,04,PF,GJB66,111.9300,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2004-05-01,2000-03-01,14,LA,GJB66,114.7300,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2004-09-01,2000-03-01,07,PH,GJB66,117.6000,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2005-01-01,2000-03-01,05,PG,GJB66,120.5400,H1E5,NULL,NULL,34.60,A,2001-09-01,H,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2018-09-01,2018-09-01,08,KA,OAA50,2400.0000,H1H1,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2024-09-01,9999-09-09,2018-10-01,2018-09-01,  ,PE,OAA50,2460.0000,H1H1,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-11-01,2018-09-01,06,PO,OAA50,2521.5000,H1H1,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-12-01,2018-09-01,04,PI,OAA50,2584.5400,H1H1,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-01-01,2018-09-01,71,PC,OAA50,2649.1500,H1H1,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-02-01,2018-09-01,92,FA,OAA50,2715.3800,H1H1,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-03-01,2018-09-01,04,PJ,OAA50,2783.2600,H1H1,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-04-01,2018-09-01,71,GB,OAA50,2852.8400,H1H1,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-05-01,2018-09-01,06,LC,OAA50,2924.1600,H1H1,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-09-01,2018-09-01,14,PB,OAA50,3296.9900,H1H2,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-11-01,2018-09-01,01,NA,OAA50,3379.4100,H1H2,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-01-01,2018-09-01,71,PC,OAA50,3463.9000,H1H2,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-03-01,2018-09-01,09,PN,OAA50,3550.5000,H1H2,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-05-01,2018-09-01,05,NB,OAA50,3639.2600,H1H2,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-09-01,2018-09-01,13,PD,OAA50,4103.2600,H1H3,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-10-01,2018-09-01,11,KE,OAA50,4205.8400,H1H3,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-11-01,2018-09-01,09,NA,OAA50,4310.9900,H1H3,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-12-01,2018-09-01,97,GA,OAA50,4418.7600,H1H3,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-01-01,2018-09-01,08,PG,OAA50,4529.2300,H1H3,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-02-01,2018-09-01,71,PN,OAA50,4642.4600,H1H3,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-03-01,2018-09-01,91,PG,OAA50,4758.5200,H1H3,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-09-01,2018-09-01,71,PM,OAA50,5365.2300,H1H4,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-11-01,2018-09-01,73,LC,OAA50,5499.3600,H1H4,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-01-01,2018-09-01,91,LB,OAA50,5636.8400,H1H4,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-03-01,2018-09-01,14,PG,OAA50,5777.7600,H1H4,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-05-01,2018-09-01,NULL,KB,OAA50,5922.2000,H1H4,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-09-01,2018-09-01,88,FA,OAA50,6677.2900,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-10-01,2018-09-01,13,PB,OAA50,6844.2200,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-11-01,2018-09-01,10,PG,OAA50,7015.3300,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2018-12-01,2018-09-01,05,KB,OAA50,7190.7100,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-01-01,2018-09-01,14,HA,OAA50,7370.4800,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-02-01,2018-09-01,96,HA,OAA50,7554.7400,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-03-01,2018-09-01,88,PF,OAA50,7743.6100,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-04-01,2018-09-01,11,PD,OAA50,7937.2000,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-05-01,2018-09-01,01,HA,OAA50,8135.6300,H1H5,Random Memo,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-06-01,2018-09-01,71,NB,OAA50,8339.0200,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-07-01,2018-09-01,71,PI,OAA50,8547.5000,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
JHA ,181587368,485385179,Rtdeegcsg, Opiy O,2018-09-01,9999-09-09,2019-08-01,2018-09-01,02,LC,OAA50,8761.1900,H1H5,NULL,NULL,100.00,A,2018-09-01,R,TO,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2014-01-01,2014-01-01,96,PB,BAA59,3900.0000,H1M1,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2014-05-01,2014-01-01,10,KE,BAA59,3997.5000,H1M1,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2014-09-01,2014-01-01,06,NB,BAA59,4097.4400,H1M1,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2015-01-01,2014-01-01,11,PA,BAA59,4199.8800,H1M1,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2015-05-01,2014-01-01,13,PJ,BAA59,4304.8800,H1M1,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2015-09-01,2014-01-01,10,FA,BAA59,4412.5000,H1M1,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2016-01-01,2014-01-01,04,PC,BAA59,4522.8100,H1M1,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2016-05-01,2014-01-01,13,PN,BAA59,4635.8800,H1M1,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2014-01-01,2014-01-01,14,LC,BAA59,5226.9600,H1M2,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2014-06-01,2014-01-01,09,PC,BAA59,5357.6300,H1M2,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2014-11-01,2014-01-01,07,PO,BAA59,5491.5700,H1M2,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2015-04-01,2014-01-01,97,PD,BAA59,5628.8600,H1M2,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2015-09-01,2014-01-01,12,KB,BAA59,5769.5800,H1M2,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2016-02-01,2014-01-01, ,GB,BAA59,5913.8200,H1M2,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2016-07-01,2014-01-01,01,LB,BAA59,6061.6700,H1M2,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2014-01-01,2014-01-01,09,GB,BAA59,6834.5300,H1M3,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2014-06-01,2014-01-01,91,PE,BAA59,7005.3900,H1M3,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2014-11-01,2014-01-01,13,PD,BAA59,7180.5200,H1M3,Random Memo,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2015-04-01,2014-01-01,07,LA,BAA59,7360.0300,H1M3,Random Memo,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2015-09-01,2014-01-01,04,PI,BAA59,7544.0300,H1M3,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2016-02-01,2014-01-01,97,LA,BAA59,7732.6300,H1M3,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2014-01-01,9999-09-09,2016-07-01,2014-01-01,94,NB,BAA59,7925.9500,H1M3,NULL,NULL,43.89,A,2014-01-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2009-12-01,2009-02-01,09,PM,CAA08,3300.0000,H7B1,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2010-05-01,2009-02-01,11,KC,CAA08,3382.5000,H7B1,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2010-10-01,2009-02-01,03,PI,CAA08,3467.0600,H7B1,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2011-03-01,2009-02-01,12,KC,CAA08,3553.7400,H7B1,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2011-08-01,2009-02-01,92,KC,CAA08,3642.5800,H7B1,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2012-01-01,2009-02-01,14,KB,CAA08,3733.6400,H7B1,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2012-06-01,2009-02-01,11,NA,CAA08,3826.9800,H7B1,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2012-11-01,2009-02-01,01,KA,CAA08,3922.6500,H7B1,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2013-04-01,2009-02-01,10,HA,CAA08,4020.7200,H7B1,Random Memo,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2013-09-01,2009-02-01,10,LB,CAA08,4121.2400,H7B1,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2014-02-01,2009-02-01,97,LC,CAA08,4224.2700,H7B1,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2009-12-01,2009-02-01,94,FB,CAA08,4762.8700,H7B2,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2011-01-01,2009-02-01,98,NB,CAA08,4881.9400,H7B2,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2012-02-01,2009-02-01,97,LB,CAA08,5003.9900,H7B2,Random Memo,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2013-03-01,2009-02-01,96,PO,CAA08,5129.0900,H7B2,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2009-12-01,2009-02-01,94,KA,CAA08,5783.0500,H7B3,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2010-07-01,2009-02-01,98,PO,CAA08,5927.6300,H7B3,Random Memo,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2011-02-01,2009-02-01,04,KA,CAA08,6075.8200,H7B3,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2011-09-01,2009-02-01,71,GA,CAA08,6227.7200,H7B3,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2012-04-01,2009-02-01,92,PD,CAA08,6383.4100,H7B3,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2012-11-01,2009-02-01,14,GB,CAA08,6543.0000,H7B3,NULL,NULL,100.00,A,2009-12-01,R,M1,R
ACA ,892815369,549945701,Jerpmycim, Jxsc Z,2009-12-01,9999-09-09,2013-06-01,2009-02-01,04,  ,CAA08,6706.5800,H7B3,NULL,NULL,100.00,A,2009-12-01,R,M1,R
SKB ,907282522,205174044,Pznwdmrkq, Xru V,2003-05-01,2005-07-01,2003-05-01,2001-05-01,97,PM,GJJ60,1200.0000,A111,NULL,02,100.00,T,2003-05-01,R,T ,T
SKB ,907282522,205174044,Pznwdmrkq, Xru V,2003-05-01,2005-07-01,2003-05-01,2001-05-01,06,FB,GJJ60,1230.0000,A111,NULL,02,100.00,T,2003-05-01,R,T ,T
SKB ,907282522,205174044,Pznwdmrkq, Xru V,2003-05-01,2005-07-01,2003-05-01,2001-05-01,08,PJ,GJJ60,1260.7500,A111,NULL,02,100.00,T,2003-05-01,R,T ,T
SKB ,907282522,205174044,Pznwdmrkq, Xru V,2003-05-01,2005-07-01,2003-05-01,2001-05-01,04,PM,GJJ60,1292.2700,A111,NULL,02,100.00,T,2003-05-01,R,T ,T
SKB ,907282522,205174044,Pznwdmrkq, Xru V,2003-05-01,2005-07-01,2003-05-01,2001-05-01,14,GB,GJJ60,1457.0400,A112,NULL,02,100.00,T,2003-05-01,R,T ,T
SKB ,907282522,205174044,Pznwdmrkq, Xru V,2003-05-01,2005-07-01,2003-05-01,2001-05-01,73,PJ,GJJ60,1493.4700,A112,NULL,02,100.00,T,2003-05-01,R,T ,T
SKB ,907282522,205174044,Pznwdmrkq, Xru V,2003-05-01,2005-07-01,2003-05-01,2001-05-01,01,FB,GJJ60,1530.8100,A112,NULL,02,100.00,T,2003-05-01,R,T ,T
SKB ,907282522,205174044,Pznwdmrkq, Xru V,2003-05-01,2005-07-01,2003-05-01,2001-05-01,72,KE,GJJ60,1569.0800,A112,NULL,02,100.00,T,2003-05-01,R,T ,T
SKB ,907282522,205174044,Pznwdmrkq, Xru V,2003-05-01,2005-07-01,2003-05-01,2001-05-01,08,PO,GJJ60,1769.1400,A113,NULL,02,100.00,T,2003-05-01,R,T ,T
SKB ,907282522,205174044,Pznwdmrkq, Xru V,2003-05-01,2005-07-01,2003-05-01,2001-05-01,11,FB,GJJ60,1813.3700,A113,NULL,02,100.00,T,2003-05-01,R,T ,T
